codigo_turma,codigo,nome,professor,credito,vagas,inscritos,status,horario_sala,extra
"ACN1005, PROJETO FINAL, 1DA",ACN1005,PROJETO FINAL,SARA FAGUNDES SOARES DE OLIVEIRA,1DA,I,SEX 13-15 L148,2,0,0
"ACN1020, TOP ESP EM ARTES CENICAS, 1DA",ACN1020,TOP ESP EM ARTES CENICAS,SARA FAGUNDES SOARES DE OLIVEIRA,1DA,I,SEX 09-13 LAC,0,0,0
"ACN1023, LEITOR,ESPECTADOR/OBRA DE ARTE, 1DA",ACN1023,"LEITOR,ESPECTADOR/OBRA DE ARTE",SARA FAGUNDES SOARES DE OLIVEIRA,1DA,I,TER 11-13 L148  QUI 11-13 L114,0,0,0
"ACN1029, TOP ESP EM ARTES CENICAS, 1DA",ACN1029,TOP ESP EM ARTES CENICAS,FERNANDA COUTINHO BOND,1DA,I,SEG 13-15 LAC  QUA 13-15 LAC,0,0,0
"ACN1034, TOP ESP EM ARTES CENICAS, 1DA",ACN1034,TOP ESP EM ARTES CENICAS,ANA MARIA BARCELLOS KFOURI,1DA,I,TER 09-13 LAC,0,0,0
"ACN1100, PROJETO - TEXTO, 1DA",ACN1100,PROJETO - TEXTO,PEDRO MOURTHE KOSOVSKI,1DA,I,SEG 15-19 LAC  QUA 15-19 LAC,0,0,0
"ACN1102, PROJETO - SOM, 1DA",ACN1102,PROJETO - SOM,DANIEL FERNANDES CASTANHEIRA,1DA,I,TER 13-17 LAC  QUI 13-17 LAC,0,0,0
"ACN1104, PROJETO - CENA, 1DA",ACN1104,PROJETO - CENA,FERNANDA COUTINHO BOND,1DA,I,SEG 09-13 LAC  QUA 09-13 LAC,0,0,0
"ADM1000, COMO FUNCIONA UM NEGOCIO, 22A",ADM1000,COMO FUNCIONA UM NEGOCIO,MARCO AURELIO DE SA RIBEIRO,22A,I,TER 13-15 L516  QUI 13-15 L516,0,0,0
"ADM1000, COMO FUNCIONA UM NEGOCIO, 2GA",ADM1000,COMO FUNCIONA UM NEGOCIO,MARIA ISABEL PEIXOTO GUIMARAES,2GA,I,TER 11-13 I004  QUI 11-13 I004,0,0,0
"ADM1000, COMO FUNCIONA UM NEGOCIO, 2GB",ADM1000,COMO FUNCIONA UM NEGOCIO,FERNANDO CARLOS RODRIGUES CORTEZI,2GB,I,TER 09-11 I004  QUI 09-11 I004,0,0,0
"ADM1000, COMO FUNCIONA UM NEGOCIO, 2GC",ADM1000,COMO FUNCIONA UM NEGOCIO,MARIA ISABEL PEIXOTO GUIMARAES,2GC,I,SEG 17-19 I004  QUA 17-19 I004,0,0,0
"ADM1001, INTEGRADORA PA I, 2GA",ADM1001,INTEGRADORA PA I,FERNANDO CARLOS RODRIGUES CORTEZI,2GA,I,TER 07-09 I004  QUI 07-09 I004,0,1,0
"ADM1001, INTEGRADORA PA I, 2GB",ADM1001,INTEGRADORA PA I,MILA LIMA DESOUZART,2GB,I,TER 11-13 I001  QUI 11-13 I001,0,1,0
"ADM1001, INTEGRADORA PA I, 2GC",ADM1001,INTEGRADORA PA I,JOAO RENATO DE SOUZA COELHO BENAZZI,2GC,I,TER 19-21 L410  QUI 19-21 L410,0,1,0
"ADM1011, OFICINA GESTÃO DA APRENDIZAGEM, 2GA",ADM1011,OFICINA GESTÃO DA APRENDIZAGEM,MARIA ISABEL PEIXOTO GUIMARAES,2GA,I,SEX 09-11 I004,0,0,0
"ADM1011, OFICINA GESTÃO DA APRENDIZAGEM, 2GB",ADM1011,OFICINA GESTÃO DA APRENDIZAGEM,MARIA ISABEL PEIXOTO GUIMARAES,2GB,I,SEX 11-13 I004,0,0,0
"ADM1011, OFICINA GESTÃO DA APRENDIZAGEM, 2GC",ADM1011,OFICINA GESTÃO DA APRENDIZAGEM,MARCELO FERNANDEZ PINEIRO,2GC,I,QUI 21-23 I006,0,0,0
"ADM1013, MENTORIA EM FINANCAS, 2GA",ADM1013,MENTORIA EM FINANCAS,SHEILA DE BARCELLOS MAIA,2GA,I,GAVEA,0,1,0
"ADM1013, MENTORIA EM FINANCAS, 2GB",ADM1013,MENTORIA EM FINANCAS,ROBERTO GIL UCHOA BORGONGINO DE CARVALHO,2GB,I,GAVEA,0,1,0
"ADM1013, MENTORIA EM FINANCAS, 2GC",ADM1013,MENTORIA EM FINANCAS,LIANA RIBEIRO DOS SANTOS,2GC,I,GAVEA,0,1,0
"ADM1014, MENTORIA EM MARKETING, 2GA",ADM1014,MENTORIA EM MARKETING,ANDRE LUIZ ROIZMAN,2GA,I,GAVEA,0,1,0
"ADM1014, MENTORIA EM MARKETING, 2GB",ADM1014,MENTORIA EM MARKETING,KARINE DE ALMEIDA KARAM,2GB,I,GAVEA,0,1,0
"ADM1014, MENTORIA EM MARKETING, 2GC",ADM1014,MENTORIA EM MARKETING,KARINE DE ALMEIDA KARAM,2GC,I,GAVEA,0,1,0
"ADM1016, BLOCKCHAIN E FINANCAS DIGITAIS, 2GA",ADM1016,BLOCKCHAIN E FINANCAS DIGITAIS,NAIELLY LOPES MARQUES,2GA,I,SEG 17-19 I005  QUA 17-19 I005,0,0,0
"ADM1019, INTRODUCAO A FINANCAS, 2WA",ADM1019,INTRODUCAO A FINANCAS,RICARDO NOLLA RUIZ,2WA,I,TER 13-15 L504  QUI 13-15 L504,0,0,0
"ADM1030, FUNDAMENTOS QUANT NEGÓCIOS I, 2GA",ADM1030,FUNDAMENTOS QUANT NEGÓCIOS I,ELIANA GIAMBIAGI,2GA,I,TER 09-11 I007  QUI 09-11 I007,0,0,0
"ADM1030, FUNDAMENTOS QUANT NEGÓCIOS I, 2GB",ADM1030,FUNDAMENTOS QUANT NEGÓCIOS I,GLACIR DE OLIVEIRA GALIMBERTI ZAPATA,2GB,I,TER 11-13 I007  QUI 11-13 I007,0,0,0
"ADM1030, FUNDAMENTOS QUANT NEGÓCIOS I, 2GC",ADM1030,FUNDAMENTOS QUANT NEGÓCIOS I,ELIANA GIAMBIAGI,2GC,I,TER 19-21 I007  QUI 19-21 I007,0,0,0
"ADM1031, FUNDAMENTOS QUANT NEGÓCIOS II, 2GA",ADM1031,FUNDAMENTOS QUANT NEGÓCIOS II,ANNA MARIA SOTERO DA SILVA NETO,2GA,I,SEG 07-09 I012  QUA 07-09 I012,0,0,0
"ADM1031, FUNDAMENTOS QUANT NEGÓCIOS II, 2GB",ADM1031,FUNDAMENTOS QUANT NEGÓCIOS II,GLACIR DE OLIVEIRA GALIMBERTI ZAPATA,2GB,I,TER 09-11 I008  QUI 09-11 I008,0,0,0
"ADM1031, FUNDAMENTOS QUANT NEGÓCIOS II, 2GC",ADM1031,FUNDAMENTOS QUANT NEGÓCIOS II,ANNA MARIA SOTERO DA SILVA NETO,2GC,I,SEG 19-21 I002  QUA 19-21 I002,0,0,0
"ADM1043, BIG DATA PARA NEGÓCIOS, 2GA",ADM1043,BIG DATA PARA NEGÓCIOS,EVANDRO DA SILVEIRA GOULART,2GA,I,TER 17-19 LBIAG  QUI 17-19 LBIAG,0,0,0
"ADM1045, ANALYTICS PARA NEGÓCIOS I, 2GA",ADM1045,ANALYTICS PARA NEGÓCIOS I,EVANDRO DA SILVEIRA GOULART,2GA,I,TER 07-09 LBIAG  QUI 07-09 LBIAG,0,0,0
"ADM1045, ANALYTICS PARA NEGÓCIOS I, 2GB",ADM1045,ANALYTICS PARA NEGÓCIOS I,EVANDRO DA SILVEIRA GOULART,2GB,I,SEG 11-13 LBIAG  QUA 11-13 LBIAG,0,0,0
"ADM1045, ANALYTICS PARA NEGÓCIOS I, 2GC",ADM1045,ANALYTICS PARA NEGÓCIOS I,EVANDRO DA SILVEIRA GOULART,2GC,I,TER 21-23 LBIAG  QUI 21-23 LBIAG,0,0,0
"ADM1102, INTEGRADORA PE I, 2GA",ADM1102,INTEGRADORA PE I,FRANCIS BERENGER MACHADO,2GA,I,TER 09-11 I009  QUI 09-11 I009,0,0,0
"ADM1102, INTEGRADORA PE I, 2GB",ADM1102,INTEGRADORA PE I,LYGIA ALESSANDRA MAGALHAES MAGACHO,2GB,I,TER 11-13 I006  QUI 11-13 I006,0,0,0
"ADM1102, INTEGRADORA PE I, 2GC",ADM1102,INTEGRADORA PE I,FERNANDO CARLOS RODRIGUES CORTEZI,2GC,I,TER 19-21 I005  QUI 19-21 I005,0,0,0
"ADM1112, INTEGRADORA PA2 (ESTAG SUPERV), 2GA",ADM1112,INTEGRADORA PA2 (ESTAG SUPERV),MILA LIMA DESOUZART,2GA,I,TER 09-11 I001  QUI 09-11 I001,0,1,0
"ADM1112, INTEGRADORA PA2 (ESTAG SUPERV), 2GB",ADM1112,INTEGRADORA PA2 (ESTAG SUPERV),EDMUNDO EUTROPIO COELHO DE SOUZA,2GB,I,TER 07-09 I005  QUI 07-09 I005,0,1,0
"ADM1112, INTEGRADORA PA2 (ESTAG SUPERV), 2GC",ADM1112,INTEGRADORA PA2 (ESTAG SUPERV),EDMUNDO EUTROPIO COELHO DE SOUZA,2GC,I,SEG 19-21 L410  QUA 19-21 L410,0,1,0
"ADM1113, INTEGRADORA PA3 (ESTAG SUPERV), 2GA",ADM1113,INTEGRADORA PA3 (ESTAG SUPERV),MILA LIMA DESOUZART,2GA,I,TER 07-09 I001  QUI 07-09 I001,0,1,0
"ADM1113, INTEGRADORA PA3 (ESTAG SUPERV), 2GB",ADM1113,INTEGRADORA PA3 (ESTAG SUPERV),MILA LIMA DESOUZART,2GB,I,TER 19-21 I004  QUI 19-21 I004,0,1,0
"ADM1113, INTEGRADORA PA3 (ESTAG SUPERV), 2GC",ADM1113,INTEGRADORA PA3 (ESTAG SUPERV),FERNANDO CARLOS RODRIGUES CORTEZI,2GC,I,TER 21-23 I004  QUI 21-23 I004,0,1,0
"ADM1120, PROJETO GESTÃO INTEGRADO I, 2GA",ADM1120,PROJETO GESTÃO INTEGRADO I,FERNANDO CARLOS RODRIGUES CORTEZI,2GA,I,TER 07-09 I004  QUI 07-09 I004,0,0,0
"ADM1120, PROJETO GESTÃO INTEGRADO I, 2GB",ADM1120,PROJETO GESTÃO INTEGRADO I,MILA LIMA DESOUZART,2GB,I,TER 11-13 I001  QUI 11-13 I001,0,0,0
"ADM1120, PROJETO GESTÃO INTEGRADO I, 2GC",ADM1120,PROJETO GESTÃO INTEGRADO I,JOAO RENATO DE SOUZA COELHO BENAZZI,2GC,I,TER 19-21 L410  QUI 19-21 L410,0,0,0
"ADM1122, INTEGRADORA PE II (EST SUPERV), 2GA",ADM1122,INTEGRADORA PE II (EST SUPERV),FRANCIS BERENGER MACHADO,2GA,I,TER 07-09 I009  QUI 07-09 I009,0,1,0
"ADM1122, INTEGRADORA PE II (EST SUPERV), 2GB",ADM1122,INTEGRADORA PE II (EST SUPERV),MARIA ISABEL PEIXOTO GUIMARAES,2GB,I,TER 19-21 I009  QUI 19-21 I009,0,1,0
"ADM1122, INTEGRADORA PE II (EST SUPERV), 2GC",ADM1122,INTEGRADORA PE II (EST SUPERV),JOAO RENATO DE SOUZA COELHO BENAZZI,2GC,I,TER 21-23 L410  QUI 21-23 L410,0,1,0
"ADM1201, INTEGRADORA PE II, 2GA",ADM1201,INTEGRADORA PE II,FRANCIS BERENGER MACHADO,2GA,I,TER 07-09 I009  QUI 07-09 I009,0,0,0
"ADM1201, INTEGRADORA PE II, 2GB",ADM1201,INTEGRADORA PE II,MARIA ISABEL PEIXOTO GUIMARAES,2GB,I,TER 19-21 I009  QUI 19-21 I009,0,0,0
"ADM1201, INTEGRADORA PE II, 2GC",ADM1201,INTEGRADORA PE II,JOAO RENATO DE SOUZA COELHO BENAZZI,2GC,I,TER 21-23 L410  QUI 21-23 L410,0,0,0
"ADM1241, RACIOCÍNIO LÓGICO, 2GA",ADM1241,RACIOCÍNIO LÓGICO,ELIANA GIAMBIAGI,2GA,I,TER 07-09 I007,0,0,0
"ADM1241, RACIOCÍNIO LÓGICO, 2GB",ADM1241,RACIOCÍNIO LÓGICO,ANNA MARIA SOTERO DA SILVA NETO,2GB,I,SEG 09-11 I012,0,0,0
"ADM1241, RACIOCÍNIO LÓGICO, 2GC",ADM1241,RACIOCÍNIO LÓGICO,ELIANA GIAMBIAGI,2GC,I,TER 21-23 I007,0,0,0
"ADM1243, RACIOCINIO LOGICO, 2GA",ADM1243,RACIOCINIO LOGICO,ANNA MARIA SOTERO DA SILVA NETO,2GA,I,QUA 09-11 I012,0,0,0
"ADM1265, ANÁLISE DESCRITIVA P/ NEGÓCIOS, 2GA",ADM1265,ANÁLISE DESCRITIVA P/ NEGÓCIOS,LEA MARA BENATTI ASSAID,2GA,I,TER 11-13 I013  QUI 11-13 I013,0,0,0
"ADM1265, ANÁLISE DESCRITIVA P/ NEGÓCIOS, 2GB",ADM1265,ANÁLISE DESCRITIVA P/ NEGÓCIOS,LEA MARA BENATTI ASSAID,2GB,I,TER 07-09 I013  QUI 07-09 I013,0,0,0
"ADM1265, ANÁLISE DESCRITIVA P/ NEGÓCIOS, 2GC",ADM1265,ANÁLISE DESCRITIVA P/ NEGÓCIOS,VERANISE JACUBOWSKI CORREIA DUBEUX,2GC,I,SEG 17-19 I013  QUA 17-19 I013,0,0,0
"ADM1278, ESTAT INFERENCIAL P NEGOCIOS, 2GA",ADM1278,ESTAT INFERENCIAL P NEGOCIOS,LEA MARA BENATTI ASSAID,2GA,I,SEG 11-13 I013  QUA 11-13 I013,0,0,0
"ADM1278, ESTAT INFERENCIAL P NEGOCIOS, 2GB",ADM1278,ESTAT INFERENCIAL P NEGOCIOS,GLACIR DE OLIVEIRA GALIMBERTI ZAPATA,2GB,I,TER 07-09 I008  QUI 07-09 I008,0,0,0
"ADM1278, ESTAT INFERENCIAL P NEGOCIOS, 2GC",ADM1278,ESTAT INFERENCIAL P NEGOCIOS,VERANISE JACUBOWSKI CORREIA DUBEUX,2GC,I,SEG 19-21 I007  QUA 19-21 I007,0,0,0
"ADM1295, PESQUISA OPERACIONAL EM ADM, 2GA",ADM1295,PESQUISA OPERACIONAL EM ADM,LEA MARA BENATTI ASSAID,2GA,I,SEG 09-11 I013  QUA 09-11 I013,0,0,0
"ADM1295, PESQUISA OPERACIONAL EM ADM, 2GB",ADM1295,PESQUISA OPERACIONAL EM ADM,EVANDRO DA SILVEIRA GOULART,2GB,I,SEG 17-19 LBIAG  QUA 17-19 LBIAG,0,0,0
"ADM1310, PLANEJ FINANCEIRO E ORCAMENTO, 2GA",ADM1310,PLANEJ FINANCEIRO E ORCAMENTO,ROBERTO GIL UCHOA BORGONGINO DE CARVALHO,2GA,I,SEG 07-09 I007  QUA 07-09 I007,0,0,0
"ADM1317, FINANCAS COMPORTAMENTAIS, 2GA",ADM1317,FINANCAS COMPORTAMENTAIS,MARCELO CABUS KLOTZLE,2GA,I,TER 17-19 I003  QUI 17-19 I003,0,0,0
"ADM1325, CONTABILIDADE EMPRESARIAL, 2GA",ADM1325,CONTABILIDADE EMPRESARIAL,SHEILA DE BARCELLOS MAIA,2GA,I,SEG 09-11 I005  QUA 09-11 I005,0,0,0
"ADM1325, CONTABILIDADE EMPRESARIAL, 2GB",ADM1325,CONTABILIDADE EMPRESARIAL,ROBERTO GIL UCHOA BORGONGINO DE CARVALHO,2GB,I,TER 07-09 I012  QUI 07-09 I012,0,0,0
"ADM1325, CONTABILIDADE EMPRESARIAL, 2GC",ADM1325,CONTABILIDADE EMPRESARIAL,FERNANDO CARLOS RODRIGUES CORTEZI,2GC,I,TER 17-19 I007  QUI 17-19 I007,0,0,0
"ADM1326, ANÁLISE FINANCEIRA DE NEGÓCIOS, 2GA",ADM1326,ANÁLISE FINANCEIRA DE NEGÓCIOS,ROBERTO GIL UCHOA BORGONGINO DE CARVALHO,2GA,I,SEG 09-11 I007  QUA 09-11 I007,0,0,0
"ADM1326, ANÁLISE FINANCEIRA DE NEGÓCIOS, 2GC",ADM1326,ANÁLISE FINANCEIRA DE NEGÓCIOS,ANDRE CABUS KLOTZLE,2GC,I,SEG 19-21 L418  QUA 19-21 L418,0,0,0
"ADM1345, CONTAB GERENCIAL E DE CUSTOS, 2GA",ADM1345,CONTAB GERENCIAL E DE CUSTOS,GRAZIELA XAVIER FORTUNATO,2GA,I,TER 09-11 I011  QUI 09-11 I011,0,0,0
"ADM1345, CONTAB GERENCIAL E DE CUSTOS, 2GB",ADM1345,CONTAB GERENCIAL E DE CUSTOS,LIANA RIBEIRO DOS SANTOS,2GB,I,TER 19-21 I003  QUI 19-21 I003,0,0,0
"ADM1346, AN DEMONSTRATIVOS FINANCEIROS, 2GA",ADM1346,AN DEMONSTRATIVOS FINANCEIROS,SHEILA DE BARCELLOS MAIA,2GA,I,SEG 07-09 I006,0,0,0
"ADM1346, AN DEMONSTRATIVOS FINANCEIROS, 2GB",ADM1346,AN DEMONSTRATIVOS FINANCEIROS,LIANA RIBEIRO DOS SANTOS,2GB,I,QUI 17-19 I011,0,0,0
"ADM1347, MATEMATICA FINANCEIRA, 2GA",ADM1347,MATEMATICA FINANCEIRA,GRAZIELA XAVIER FORTUNATO,2GA,I,TER 11-13 I011  QUI 11-13 I011,0,0,0
"ADM1347, MATEMATICA FINANCEIRA, 2GB",ADM1347,MATEMATICA FINANCEIRA,ANDRE CABUS KLOTZLE,2GB,I,TER 19-21 L418  QUI 19-21 L418,0,0,0
"ADM1348, ADMINISTRACAO FINANCEIRA, 2GA",ADM1348,ADMINISTRACAO FINANCEIRA,ROBERTO GIL UCHOA BORGONGINO DE CARVALHO,2GA,I,TER 09-11 I012  QUI 09-11 I012,0,0,0
"ADM1348, ADMINISTRACAO FINANCEIRA, 2GB",ADM1348,ADMINISTRACAO FINANCEIRA,ANDRE CABUS KLOTZLE,2GB,I,TER 21-23 L418  QUI 21-23 L418,0,0,0
"ADM1370, FINANCAS PARA NOVOS NEGOCIOS, 2GA",ADM1370,FINANCAS PARA NOVOS NEGOCIOS,GRAZIELA XAVIER FORTUNATO,2GA,I,GAVEA,0,2,0
"ADM1370, FINANCAS PARA NOVOS NEGOCIOS, 2GB",ADM1370,FINANCAS PARA NOVOS NEGOCIOS,GRAZIELA XAVIER FORTUNATO,2GB,I,GAVEA,0,2,0
"ADM1370, FINANCAS PARA NOVOS NEGOCIOS, 2GC",ADM1370,FINANCAS PARA NOVOS NEGOCIOS,GRAZIELA XAVIER FORTUNATO,2GC,I,GAVEA,0,2,0
"ADM1412, TRADE MARKETING E VENDAS, 2GA",ADM1412,TRADE MARKETING E VENDAS,MARCO AURELIO DE SA RIBEIRO,2GA,I,SEG 07-09 I009  QUA 07-09 I009,0,0,0
"ADM1414, COMUNICACAO INTEGRADA DE MKT, 2GA",ADM1414,COMUNICACAO INTEGRADA DE MKT,ANDRE LACOMBE PENNA DA ROCHA,2GA,I,TER 17-19 I006  QUI 17-19 I006,0,0,0
"ADM1415, MARKETING DIGITAL, 2GA",ADM1415,MARKETING DIGITAL,JORGE BRANTES FERREIRA,2GA,I,QUA 17-19 I006,0,2,0
"ADM1440, PRATICA PESQUISA QUANTITATIVA, 2GA",ADM1440,PRATICA PESQUISA QUANTITATIVA,DANIEL KAMLOT,2GA,I,GAVEA,0,2,0
"ADM1440, PRATICA PESQUISA QUANTITATIVA, 2GB",ADM1440,PRATICA PESQUISA QUANTITATIVA,DANIEL KAMLOT,2GB,I,GAVEA,0,2,0
"ADM1440, PRATICA PESQUISA QUANTITATIVA, 2GC",ADM1440,PRATICA PESQUISA QUANTITATIVA,DANIEL KAMLOT,2GC,I,GAVEA,0,2,0
"ADM1445, COMPORTAMENTO DO CONSUMIDOR, 2GA",ADM1445,COMPORTAMENTO DO CONSUMIDOR,BARBARA PAGLIARI LEVY,2GA,I,SEG 09-11 I001  QUA 09-11 I001,0,0,0
"ADM1445, COMPORTAMENTO DO CONSUMIDOR, 2GB",ADM1445,COMPORTAMENTO DO CONSUMIDOR,BARBARA PAGLIARI LEVY,2GB,I,TER 09-11 I003  QUI 09-11 I003,0,0,0
"ADM1445, COMPORTAMENTO DO CONSUMIDOR, 2GC",ADM1445,COMPORTAMENTO DO CONSUMIDOR,DANIEL KAMLOT,2GC,I,SEG 21-23 L332  QUA 21-23 L332,0,0,0
"ADM1446, MARKETING DE SERVICOS, 2GA",ADM1446,MARKETING DE SERVICOS,ANDRE LACOMBE PENNA DA ROCHA,2GA,I,SEG 09-11 L464  QUA 09-11 L464,0,0,0
"ADM1446, MARKETING DE SERVICOS, 2GC",ADM1446,MARKETING DE SERVICOS,ANDRE LUIZ ROIZMAN,2GC,I,TER 21-23 L324  QUI 21-23 L324,0,0,0
"ADM1447, PRATICA PESQUISA QUALITATIVA, 2GA",ADM1447,PRATICA PESQUISA QUALITATIVA,DANIEL KAMLOT,2GA,I,GAVEA,0,2,0
"ADM1447, PRATICA PESQUISA QUALITATIVA, 2GB",ADM1447,PRATICA PESQUISA QUALITATIVA,DANIEL KAMLOT,2GB,I,GAVEA,0,2,0
"ADM1447, PRATICA PESQUISA QUALITATIVA, 2GC",ADM1447,PRATICA PESQUISA QUALITATIVA,DANIEL KAMLOT,2GC,I,GAVEA,0,2,0
"ADM1457, GESTAO DE MARKETING I, 2GA",ADM1457,GESTAO DE MARKETING I,MARCUS WILCOX HEMAIS,2GA,I,SEG 11-13 I001  QUA 11-13 I001,0,0,0
"ADM1457, GESTAO DE MARKETING I, 2GB",ADM1457,GESTAO DE MARKETING I,MARCO AURELIO DE SA RIBEIRO,2GB,I,SEG 09-11 I006  QUA 09-11 I006,0,0,0
"ADM1457, GESTAO DE MARKETING I, 2GC",ADM1457,GESTAO DE MARKETING I,KARINE DE ALMEIDA KARAM,2GC,I,SEG 21-23 I009  QUA 21-23 I009,0,0,0
"ADM1459, GESTAO DE MARKETING II, 2GA",ADM1459,GESTAO DE MARKETING II,ALESSANDRA BAIOCCHI ANTUNES CORREA,2GA,I,SEG 11-13 I012  QUA 11-13 I012,0,0,0
"ADM1459, GESTAO DE MARKETING II, 2GB",ADM1459,GESTAO DE MARKETING II,BARBARA PAGLIARI LEVY,2GB,I,SEG 07-09 I001  QUA 07-09 I001,0,0,0
"ADM1459, GESTAO DE MARKETING II, 2GC",ADM1459,GESTAO DE MARKETING II,KARINE DE ALMEIDA KARAM,2GC,I,SEG 19-21 I009  QUA 19-21 I009,0,0,0
"ADM1496, MARKETING PARA EMPREENDEDORES, 20A",ADM1496,MARKETING PARA EMPREENDEDORES,DANIEL KAMLOT,20A,I,SEG 17-19 L446,2,0,0
"ADM1500, PROJETO DE TCC, 2GA",ADM1500,PROJETO DE TCC,EDMUNDO EUTROPIO COELHO DE SOUZA,2GA,I,SEG 07-09 VIRTUAL,0,0,0
"ADM1500, PROJETO DE TCC, 2GB",ADM1500,PROJETO DE TCC,LIANA RIBEIRO DOS SANTOS,2GB,I,TER 17-19 I011,0,0,0
"ADM1500, PROJETO DE TCC, 2GC",ADM1500,PROJETO DE TCC,JOAO RENATO DE SOUZA COELHO BENAZZI,2GC,I,QUA 21-23 VIRTUAL,0,0,0
"ADM1500, PROJETO DE TCC, 2GE",ADM1500,PROJETO DE TCC,LIANA RIBEIRO DOS SANTOS,2GE,I,TER 21-23 I006,0,0,0
"ADM1500, PROJETO DE TCC, 2GF",ADM1500,PROJETO DE TCC,JOAO RENATO DE SOUZA COELHO BENAZZI,2GF,I,QUA 17-19 VIRTUAL,0,0,0
"ADM1500, PROJETO DE TCC, 2GG",ADM1500,PROJETO DE TCC,JOAO RENATO DE SOUZA COELHO BENAZZI,2GG,I,QUA 19-21 VIRTUAL,0,0,0
"ADM1527, TOP ESP EM ESTRATÉGIA I, 2GA",ADM1527,TOP ESP EM ESTRATÉGIA I,MARTIM FRANCISCO DE OLIVEIRA E SILVA,2GA,I,SEX 09-11 I007,0,2,0
"ADM1612, GESTAO DE PROJETOS, 2GA",ADM1612,GESTAO DE PROJETOS,MARCOS LOPEZ REGO,2GA,I,SEG 19-21 L150  QUA 19-21 L150,0,0,0
"ADM1616, GOV COMP E ÉTICA CORPORATIVA, 2GA",ADM1616,GOV COMP E ÉTICA CORPORATIVA,CIRO VALERIO TORRES DA SILVA,2GA,I,SEG 21-23 L330  QUA 21-23 L330,0,0,0
"ADM1625, DESENV MODELOS NEG INOVADORES, 2GA",ADM1625,DESENV MODELOS NEG INOVADORES,SYLVIA THEREZINHA DE ALMEIDA MORAES,2GA,I,SEG 07-09 I002  QUA 07-09 I002,0,0,0
"ADM1630, O INDIVIDUO E O TRABALHO, 2GA",ADM1630,O INDIVIDUO E O TRABALHO,PATRICIA ITALA FERREIRA,2GA,I,SEG 09-11 I004  QUA 09-11 I004,0,0,0
"ADM1630, O INDIVIDUO E O TRABALHO, 2GB",ADM1630,O INDIVIDUO E O TRABALHO,JEANE RODRIGUES LUCENA NIEMEYER,2GB,I,SEG 11-13 I006  QUA 11-13 I006,0,0,0
"ADM1630, O INDIVIDUO E O TRABALHO, 2GC",ADM1630,O INDIVIDUO E O TRABALHO,FERNANDA DE OLIVEIRA SANTOS DE SOUZA,2GC,I,TER 17-19 I002  QUI 17-19 I002,0,0,0
"ADM1635, DECISOES DE NEGOCIOS, 2GA",ADM1635,DECISOES DE NEGOCIOS,MARTIM FRANCISCO DE OLIVEIRA E SILVA,2GA,I,GAVEA,0,2,0
"ADM1635, DECISOES DE NEGOCIOS, 2GB",ADM1635,DECISOES DE NEGOCIOS,SYLVIA THEREZINHA DE ALMEIDA MORAES,2GB,I,GAVEA,0,2,0
"ADM1635, DECISOES DE NEGOCIOS, 2GC",ADM1635,DECISOES DE NEGOCIOS,MARCELO GHIARONI DE ALBUQUERQUE E SILVA,2GC,I,GAVEA,0,2,0
"ADM1636, TI E GESTAO DE NEGOCIOS, 2GA",ADM1636,TI E GESTAO DE NEGOCIOS,MARTIM FRANCISCO DE OLIVEIRA E SILVA,2GA,I,QUA 07-09 I008,0,0,0
"ADM1636, TI E GESTAO DE NEGOCIOS, 2GB",ADM1636,TI E GESTAO DE NEGOCIOS,ANDRE LUIZ ROIZMAN,2GB,I,TER 19-21 L324,0,0,0
"ADM1636, TI E GESTAO DE NEGOCIOS, 2GC",ADM1636,TI E GESTAO DE NEGOCIOS,ANDRE LUIZ ROIZMAN,2GC,I,QUI 19-21 L324,0,0,0
"ADM1638, GEST DA CADEIA DE SUPRIMENTOS, 2GA",ADM1638,GEST DA CADEIA DE SUPRIMENTOS,MARCELO GHIARONI DE ALBUQUERQUE E SILVA,2GA,I,SEG 09-11 I002,0,0,0
"ADM1638, GEST DA CADEIA DE SUPRIMENTOS, 2GB",ADM1638,GEST DA CADEIA DE SUPRIMENTOS,MARTIM FRANCISCO DE OLIVEIRA E SILVA,2GB,I,QUA 17-19 I008,0,0,0
"ADM1638, GEST DA CADEIA DE SUPRIMENTOS, 2GC",ADM1638,GEST DA CADEIA DE SUPRIMENTOS,MARTIM FRANCISCO DE OLIVEIRA E SILVA,2GC,I,QUA 19-21 I008,0,0,0
"ADM1640, COMPORTAMENTO ORGANIZACIONAL, 2GA",ADM1640,COMPORTAMENTO ORGANIZACIONAL,LYGIA ALESSANDRA MAGALHAES MAGACHO,2GA,I,TER 09-11 I006  QUI 09-11 I006,0,0,0
"ADM1640, COMPORTAMENTO ORGANIZACIONAL, 2GB",ADM1640,COMPORTAMENTO ORGANIZACIONAL,PATRICIA AMELIA TOMEI,2GB,I,TER 11-13 I008  QUI 11-13 I008,0,0,0
"ADM1640, COMPORTAMENTO ORGANIZACIONAL, 2GC",ADM1640,COMPORTAMENTO ORGANIZACIONAL,MARCELO FERNANDEZ PINEIRO,2GC,I,TER 19-21 I006  QUI 19-21 I006,0,0,0
"ADM1641, TEORIA DAS ORGANIZACOES I, 2GA",ADM1641,TEORIA DAS ORGANIZACOES I,MARCO AURELIO DE SA RIBEIRO,2GA,I,TER 07-09 I002  QUI 07-09 I002,0,0,0
