codigo_turma,codigo,nome,professor,credito,vagas,inscritos,status,horario_sala,extra
"INF2786, PESQ TESE I INT HUM-COMPUTADOR, 3WD",INF2786,PESQ TESE I INT HUM-COMPUTADOR,ALBERTO BARBOSA RAPOSO,3WD,I,GAVEA,0,3,0
"INF2787, PES TESE II INT HUM-COMPUTADOR, 3WA",INF2787,PES TESE II INT HUM-COMPUTADOR,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2787, PES TESE II INT HUM-COMPUTADOR, 3WB",INF2787,PES TESE II INT HUM-COMPUTADOR,SIMONE DINIZ JUNQUEIRA BARBOSA,3WB,I,GAVEA,0,3,0
"INF2787, PES TESE II INT HUM-COMPUTADOR, 3WC",INF2787,PES TESE II INT HUM-COMPUTADOR,HORISTA A CONTRATAR,3WC,I,GAVEA,0,3,0
"INF2787, PES TESE II INT HUM-COMPUTADOR, 3WD",INF2787,PES TESE II INT HUM-COMPUTADOR,ALBERTO BARBOSA RAPOSO,3WD,I,GAVEA,0,3,0
"INF2788, PES TES III INT HUM-COMPUTADOR, 3WA",INF2788,PES TES III INT HUM-COMPUTADOR,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2788, PES TES III INT HUM-COMPUTADOR, 3WB",INF2788,PES TES III INT HUM-COMPUTADOR,SIMONE DINIZ JUNQUEIRA BARBOSA,3WB,I,GAVEA,0,3,0
"INF2788, PES TES III INT HUM-COMPUTADOR, 3WC",INF2788,PES TES III INT HUM-COMPUTADOR,HORISTA A CONTRATAR,3WC,I,GAVEA,0,3,0
"INF2788, PES TES III INT HUM-COMPUTADOR, 3WD",INF2788,PES TES III INT HUM-COMPUTADOR,ALBERTO BARBOSA RAPOSO,3WD,I,GAVEA,0,3,0
"INF2789, PES TESE IV INT HUM-COMPUTADOR, 3WA",INF2789,PES TESE IV INT HUM-COMPUTADOR,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2789, PES TESE IV INT HUM-COMPUTADOR, 3WB",INF2789,PES TESE IV INT HUM-COMPUTADOR,SIMONE DINIZ JUNQUEIRA BARBOSA,3WB,I,GAVEA,0,3,0
"INF2789, PES TESE IV INT HUM-COMPUTADOR, 3WC",INF2789,PES TESE IV INT HUM-COMPUTADOR,HORISTA A CONTRATAR,3WC,I,GAVEA,0,3,0
"INF2789, PES TESE IV INT HUM-COMPUTADOR, 3WD",INF2789,PES TESE IV INT HUM-COMPUTADOR,ALBERTO BARBOSA RAPOSO,3WD,I,GAVEA,0,3,0
"INF2792, TOP INTER HUM-COMPUTADOR III, 3WA",INF2792,TOP INTER HUM-COMPUTADOR III,SIMONE DINIZ JUNQUEIRA BARBOSA,3WA,I,TER 10-13 DPTO,0,0,0
"INF2795, TRAB IND INTER HUM-COMPUT I, 3WA",INF2795,TRAB IND INTER HUM-COMPUT I,HORISTA A CONTRATAR,3WA,I,GAVEA,0,1,0
"INF2795, TRAB IND INTER HUM-COMPUT I, 3WB",INF2795,TRAB IND INTER HUM-COMPUT I,SIMONE DINIZ JUNQUEIRA BARBOSA,3WB,I,GAVEA,0,1,0
"INF2795, TRAB IND INTER HUM-COMPUT I, 3WC",INF2795,TRAB IND INTER HUM-COMPUT I,HORISTA A CONTRATAR,3WC,I,GAVEA,0,1,0
"INF2795, TRAB IND INTER HUM-COMPUT I, 3WD",INF2795,TRAB IND INTER HUM-COMPUT I,ALBERTO BARBOSA RAPOSO,3WD,I,GAVEA,0,1,0
"INF2796, TRAB IND INTER HUM-COMPUT II, 3WA",INF2796,TRAB IND INTER HUM-COMPUT II,HORISTA A CONTRATAR,3WA,I,GAVEA,0,2,0
"INF2796, TRAB IND INTER HUM-COMPUT II, 3WB",INF2796,TRAB IND INTER HUM-COMPUT II,SIMONE DINIZ JUNQUEIRA BARBOSA,3WB,I,GAVEA,0,2,0
"INF2796, TRAB IND INTER HUM-COMPUT II, 3WD",INF2796,TRAB IND INTER HUM-COMPUT II,ALBERTO BARBOSA RAPOSO,3WD,I,GAVEA,0,2,0
"INF2797, TRAB IND INTER HUM-COMPUT III, 3WA",INF2797,TRAB IND INTER HUM-COMPUT III,HORISTA A CONTRATAR,3WA,I,GAVEA,0,2,0
"INF2797, TRAB IND INTER HUM-COMPUT III, 3WB",INF2797,TRAB IND INTER HUM-COMPUT III,SIMONE DINIZ JUNQUEIRA BARBOSA,3WB,I,GAVEA,0,2,0
"INF2797, TRAB IND INTER HUM-COMPUT III, 3WD",INF2797,TRAB IND INTER HUM-COMPUT III,ALBERTO BARBOSA RAPOSO,3WD,I,GAVEA,0,2,0
"INF2798, TRAB IND INTER HUM-COMPUT IV, 3WA",INF2798,TRAB IND INTER HUM-COMPUT IV,GREIS FRANCY MIREYA SILVA CALPA,3WA,I,GAVEA,0,3,0
"INF2798, TRAB IND INTER HUM-COMPUT IV, 3WB",INF2798,TRAB IND INTER HUM-COMPUT IV,SIMONE DINIZ JUNQUEIRA BARBOSA,3WB,I,GAVEA,0,3,0
"INF2798, TRAB IND INTER HUM-COMPUT IV, 3WD",INF2798,TRAB IND INTER HUM-COMPUT IV,ALBERTO BARBOSA RAPOSO,3WD,I,GAVEA,0,3,0
"INF2799, TRAB IND INTER HUM-COMPUT V, 3WA",INF2799,TRAB IND INTER HUM-COMPUT V,HORISTA A CONTRATAR,3WA,I,GAVEA,0,3,0
"INF2799, TRAB IND INTER HUM-COMPUT V, 3WB",INF2799,TRAB IND INTER HUM-COMPUT V,SIMONE DINIZ JUNQUEIRA BARBOSA,3WB,I,GAVEA,0,3,0
"INF2799, TRAB IND INTER HUM-COMPUT V, 3WD",INF2799,TRAB IND INTER HUM-COMPUT V,ALBERTO BARBOSA RAPOSO,3WD,I,GAVEA,0,3,0
